date_id,day,month,year,quarter
1,8,7,1968,2
2,11,11,1968,3
3,21,7,1968,2
4,22,4,1968,1
5,8,2,1968,1
6,15,4,1968,1
7,13,8,1968,2
8,6,5,1968,2
9,7,7,1968,2
10,14,9,1968,3
11,7,6,1968,2
12,27,5,1968,2
13,24,6,1968,2
14,29,8,1968,2
15,19,1,1968,1
16,27,4,1968,1
17,26,12,1968,3
18,3,5,1968,2
19,24,5,1968,2
20,17,5,1968,2
21,11,5,1968,2
22,29,3,1968,1
23,28,4,1968,1
24,14,6,1968,2
25,19,7,1968,2
26,16,8,1968,2
27,2,5,1968,2
28,4,10,1968,3
29,26,4,1968,1
30,21,9,1968,3
31,9,11,1968,3
32,23,5,1968,2
33,13,6,1968,2
34,23,3,1968,1
35,10,5,1968,2
36,20,3,1968,1
37,5,5,1968,2
38,17,6,1968,2
39,8,1,1968,1
40,14,1,1968,1
41,30,12,1968,3
42,20,2,1968,1
43,31,1,1968,1
44,12,2,1968,1
45,9,2,1968,1
46,2,2,1968,1
47,20,1,1968,1
48,13,2,1968,1
49,16,2,1968,1
50,25,3,1968,1
51,11,3,1968,1
52,4,3,1968,1
53,26,2,1968,1
54,18,3,1968,1
55,1,2,1968,1
56,27,2,1968,1
57,22,3,1968,1
58,27,3,1968,1
59,1,4,1968,1
60,8,4,1968,1
61,28,3,1968,1
62,5,4,1968,1
63,10,4,1968,1
64,21,11,1968,3
65,22,7,1968,2
66,31,7,1968,2
67,17,8,1968,2
68,12,6,1968,2
69,12,8,1968,2
70,22,9,1968,3
71,15,11,1968,3
72,15,8,1968,2
73,29,5,1968,2
74,17,7,1968,2
75,27,9,1968,3
76,29,7,1968,2
77,15,7,1968,2
78,23,11,1968,3
79,10,6,1968,2
80,28,11,1968,3
81,27,12,1968,3
82,15,5,1968,2
83,9,8,1968,2
84,5,8,1968,2
85,16,4,1968,1
86,17,4,1968,1
87,20,4,1968,1
88,4,5,1968,2
89,31,5,1968,2
90,26,7,1968,2
91,1,8,1968,2
92,26,9,1968,3
93,2,10,1968,3
94,6,10,1968,3
95,9,10,1968,3
96,10,10,1968,3
97,11,10,1968,3
98,16,10,1968,3
99,21,10,1968,3
100,27,10,1968,3
101,31,10,1968,3
102,7,11,1968,3
103,7,12,1968,3
104,9,12,1968,3
105,29,4,1968,1
106,20,8,1968,2
107,1,1,1968,1
108,3,6,1968,2
109,28,12,1967,3
110,2,1,1968,1
111,22,1,1968,1
112,10,2,1968,1
113,28,2,1968,1
114,2,3,1968,1
115,25,7,1968,2
116,19,8,1968,2
117,28,10,1968,3
118,21,1,1968,1
119,6,6,1968,2
120,22,6,1968,2
121,10,7,1968,2
122,11,8,1968,2
123,18,8,1968,2
124,1,9,1968,3
125,8,9,1968,3
126,13,9,1968,3
127,16,9,1968,3
128,1,10,1968,3
129,8,12,1968,3
130,1,1,1969,1
131,22,8,1968,2
132,7,7,1969,2
133,24,3,1969,1
